0.191, -59.903, 89.048
0.227, -57.904, 90.84
0.397, -55.911, 92.362
0.678, -53.931, 93.639
1.051, -51.967, 94.708
1.501, -50.018, 95.603
2.014, -48.085, 96.357
2.583, -46.168, 96.357
3.199, -44.265, 96.998
3.851, -42.374, 97.548
4.534, -40.495, 98.028
5.241, -38.624, 98.453
5.97, -36.761, 98.838
6.715, -34.905, 99.193
7.476, -33.056, 99.193
8.246, -31.21, 99.529
9.023, -29.367, 99.856
9.803, -27.525, 99.818
10.583, -25.684, 99.483
11.361, -23.842, 99.483
12.132, -21.996, 99.13
12.894, -20.147, 98.748
13.642, -18.292, 98.325
14.374, -16.431, 97.846
15.086, -14.562, 97.294
15.771, -12.683, 96.645
16.422, -10.792, 96.645
17.031, -8.887, 95.873
17.59, -6.967, 94.944
18.09, -5.03, 93.815
18.516, -3.076, 92.112
18.852, -1.105, 89.312
19.078, 0.882, 86.422
19.15, 2.88, 83.432
19.041, 4.875, 80.332
18.715, 6.846, 77.181
18.138, 8.758, 74.419
17.244, 10.543, 72.152
16.056, 12.147, 73.287
14.623, 13.537, 75.746
12.99, 14.688, 80.281
11.218, 15.613, 86.93
9.381, 16.401, 86.451
7.477, 17.013, 85.765
5.528, 17.456, 85.557
3.548, 17.728, 85.431
1.551, 17.824, 85.374
-0.445, 17.715, 85.411
-2.423, 17.429, 85.474
-4.369, 16.973, 85.545
-6.26, 16.324, 85.66
-8.086, 15.511, 85.682
-9.836, 14.545, 85.616
-11.48, 13.407, 85.52
-13.021, 12.134, 85.379
-14.437, 10.723, 84.972
-15.707, 9.18, 84.719
-16.837, 7.531, 84.446
-17.782, 5.77, 83.899
-18.553, 3.926, 83.666
-19.135, 2.014, 83.392
-19.498, 0.049, 83.399
-19.667, -1.943, 83.53
-19.625, -3.941, 84.208
-19.367, -5.923, 84.757
-18.923, -7.871, 85.433
-18.303, -9.771, 86.215
-17.519, -11.611, 87.077
-16.577, -13.375, 88.928
-15.505, -15.062, 89.864
-14.32, -16.673, 90.776
-13.039, -18.209, 91.104
-11.704, -19.698, 95.347
-10.406, -21.219, 94.965
-9.156, -22.78, 94.181
-7.96, -24.383, 93.405
-6.829, -26.033, 93.036
-5.775, -27.732, 92.343
-4.802, -29.479, 89.551
-3.92, -31.274, 86.669
-3.135, -33.113, 83.687
-2.45, -34.991, 80.595
-1.864, -36.903, 77.38
-1.375, -38.842, 74.025
-0.977, -40.802, 70.511
-0.661, -42.777, 66.812
-0.419, -44.762, 62.896
-0.239, -46.754, 58.719
-0.116, -48.75, 54.221
-0.039, -50.748, 49.315
0.001, -52.748, 43.863
0.007, -54.748, 37.63
-0.011, -56.748, 30.133
-0.052, -58.747, 20
-0.082, -59.903, 0
-0.082, -59.903, 0
-0.6, -79.896, 0
endData
127
100
200
0.191, -59.903, -0.355, -36.401, 32.985, 3.771, 12.489, 14.976
12.489, 14.976, -8.007, 26.18, -31.782, 2.132, -12.653, -18.638
-12.653, -18.638, -1.175, -31.209, 0.465, -41.047, -0.082, -59.903
#PATH.JERRYIO-DATA {"appVersion":"0.11.0","format":"LemLib v0.5","gc":{"robotWidth":11.811023622047244,"robotHeight":11.811023622047244,"robotIsHolonomic":false,"showRobot":true,"uol":2.54,"pointDensity":2,"controlMagnetDistance":0.7750015500031,"fieldImage":{"displayName":"V5RC 2027 - Override","signature":"V5RC-Override-H2H-TopDownHighlighted-TileColor66_71","origin":{"__type":"built-in"}},"coordinateSystem":"Path-Based Coordinates"},"paths":[{"segments":[{"controls":[{"uid":"SeOLEOEkTR","x":0.19129592435256793,"y":-59.902952311547956,"lock":false,"visible":true,"heading":5.999999999999998,"__type":"end-point"},{"uid":"e0lWu5Gp29","x":-0.35526385951192085,"y":-36.40088160537495,"lock":false,"visible":true,"__type":"control"},{"uid":"fWxoGDdwbD","x":32.98488295622188,"y":3.771262508664975,"lock":false,"visible":true,"__type":"control"},{"uid":"ZkeR7k47rA","x":12.488891061303564,"y":14.975738077886993,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"02VUav7ixp"},{"controls":[{"uid":"ZkeR7k47rA","x":12.488891061303564,"y":14.975738077886993,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"mm0h3CwDw3","x":-8.007100833614754,"y":26.18021364710901,"lock":false,"visible":true,"__type":"control"},{"uid":"3EtFqqxRrp","x":-31.78245143172002,"y":2.1315831570715096,"lock":false,"visible":true,"__type":"control"},{"uid":"dC6vgBZc0m","x":-12.652858996462916,"y":-18.63768862977906,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"EvWr2ZAsp7"},{"controls":[{"uid":"dC6vgBZc0m","x":-12.652858996462916,"y":-18.63768862977906,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"D1hQkqrgOP","x":-1.1751035353086536,"y":-31.2085636586623,"lock":false,"visible":true,"__type":"control"},{"uid":"yJdw7sjfP7","x":0.46457581628481226,"y":-41.046639768223095,"lock":false,"visible":true,"__type":"control"},{"uid":"nLIagLbc0m","x":-0.08198396757967641,"y":-59.902952311547956,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[{"uid":"cjXUYRMbah","xPos":0.9565217391304348,"yPos":1,"followBentRate":true}],"lookaheadKeyframes":[],"uid":"3WYqYgxqje"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":100},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1},"maxDecelerationRate":127},"name":"Path","uid":"CkqgTVOotF","lock":false,"visible":true}]}
